="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",="",="(7)",="",="(8)",="",="(9)",="",="(10)",="",="(11)",="",="(12)",=""
="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",=""
="T",="0.0062",="(0.0150)",="0.0051",="(0.0132)",="0.0094",="(0.0125)",="0.0082",="(0.0108)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM2nd",="0.0362",="(0.0253)",="0.0199",="(0.0147)",="0.0426+",="(0.0251)",="0.0234+",="(0.0121)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Loc",="-0.0092",="(0.0213)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM2nd_Loc",="0.0212",="(0.0706)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM2nd_Loc",="-0.0695",="(0.0521)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAMBelow2nd",="-0.0725+",="(0.0372)",="-0.0859**",="(0.0330)",="-0.0771*",="(0.0360)",="-0.0958**",="(0.0324)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="loc_rules_bi",="0.0000",="(0.0152)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="const_term",="0.5027***",="(0.1433)",="0.4886***",="(0.1402)",="0.4953***",="(0.1385)",="0.4999***",="(0.1430)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="DataTI3",="-0.1480",="(0.1154)",="-0.1511",="(0.1124)",="-0.1643",="(0.1118)",="-0.1603",="(0.1150)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="SumPre5_50k",="0.0005",="(0.0004)",="0.0005",="(0.0004)",="0.0006",="(0.0004)",="0.0006+",="(0.0003)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="SPI3mean2013_07_2014_06",="-0.0674*",="(0.0270)",="-0.0569*",="(0.0278)",="-0.0508+",="(0.0264)",="-0.0553+",="(0.0288)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Var_low",="-0.0177",="(0.0243)",="-0.0269",="(0.0252)",="-0.0259",="(0.0233)",="-0.0237",="(0.0241)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="age",="0.0001",="(0.0005)",="0.0003",="(0.0005)",="0.0000",="(0.0005)",="0.0002",="(0.0005)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="gender",="0.0044",="(0.0080)",="0.0062",="(0.0075)",="0.0104",="(0.0088)",="0.0078",="(0.0101)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="employed_q3",="-0.0004",="(0.0171)",="-0.0017",="(0.0177)",="-0.0019",="(0.0158)",="-0.0041",="(0.0176)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="formal_education_q5",="-0.0324**",="(0.0107)",="-0.0309**",="(0.0111)",="-0.0316**",="(0.0104)",="-0.0304*",="(0.0121)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="pastoral_q6",="0.0496***",="(0.0147)",="0.0403**",="(0.0148)",="0.0547***",="(0.0143)",="0.0445**",="(0.0151)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="low_ses_q15",="0.0300*",="(0.0146)",="0.0190",="(0.0155)",="0.0433*",="(0.0172)",="0.0370*",="(0.0160)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="included_q11",="-0.0139",="(0.0189)",="-0.0090",="(0.0169)",="0.0014",="(0.0157)",="-0.0077",="(0.0192)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="attacked_1yr",="0.0460**",="(0.0174)",="0.0391*",="(0.0157)",="0.0412**",="(0.0160)",="0.0395*",="(0.0161)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="eth_match",="0.0257***",="(0.0069)",="0.0306**",="(0.0094)",="0.0168",="(0.0108)",="0.0271*",="(0.0112)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="gender_match",="0.0170+",="(0.0091)",="0.0250**",="(0.0085)",="0.0206*",="(0.0082)",="0.0248**",="(0.0089)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Trad",="",="",="-0.0104",="(0.0179)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM2nd_Trad",="",="",="-0.0281",="(0.0765)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM2nd_Trad",="",="",="0.1501**",="(0.0567)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="trad_rules_bi",="",="",="0.0331*",="(0.0163)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_MoreLoc",="",="",="",="",="-0.0247",="(0.0262)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM2nd_MoreLoc",="",="",="",="",="-0.0886",="(0.1707)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM2nd_MoreLoc",="",="",="",="",="0.0395",="(0.1177)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="more_loc_rules_bi",="",="",="",="",="0.0389+",="(0.0203)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_MoreTrad",="",="",="",="",="",="",="-0.0346",="(0.0260)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM2nd_MoreTrad",="",="",="",="",="",="",="0.1452+",="(0.0809)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM2nd_MoreTrad",="",="",="",="",="",="",="0.2081**",="(0.0648)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="more_trad_rules_bi",="",="",="",="",="",="",="0.0367",="(0.0257)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="(1)",="",="",="",="",="",="",="",="",="0.0424*",="(0.0211)",="0.0544",="(0.0468)",="0.0249***",="(0.0061)",="-0.0135",="(0.0809)",="0.0521*",="(0.0214)",="-0.0613",="(0.1468)",="0.0317***",="(0.0059)",="0.1423+",="(0.0811)"
="N",="1179",="",="1220",="",="1146",="",="1194",="",="1179",="",="1179",="",="1220",="",="1220",="",="1146",="",="1146",="",="1194",="",="1194",=""
="R-sq",="0.771",="",="0.774",="",="0.773",="",="0.778",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Standard errors in parentheses"
="+ p<.1, * p<.05, ** p<.01, *** p<.001"
