="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",="",="(7)",="",="(8)",="",="(9)",="",="(10)",="",="(11)",="",="(12)",=""
="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",=""
="T",="0.0097",="(.)",="0.0063",="(.)",="0.0104",="(0.0067)",="0.0095",="(0.0069)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM2nd",="0.0361",="(0.0296)",="0.0142",="(0.0119)",="0.0431",="(0.0281)",="0.0156",="(0.0167)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Loc",="-0.0182",="(0.0171)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM2nd_Loc",="0.0057",="(0.0783)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM2nd_Loc",="-0.0637",="(0.0539)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAMBelow2nd",="-0.0315",="(0.0232)",="-0.0509*",="(0.0222)",="-0.0360",="(0.0242)",="-0.0535*",="(0.0234)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="loc_rules_bi",="0.0137",="(0.0182)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="const_term",="0.3615***",="(0.0213)",="0.3546***",="(0.0209)",="0.3560***",="(0.0203)",="0.3628***",="(0.0194)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Trad",="",="",="-0.0141",="(0.0197)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM2nd_Trad",="",="",="-0.0123",="(0.0736)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM2nd_Trad",="",="",="0.1497**",="(0.0570)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="trad_rules_bi",="",="",="0.0466*",="(0.0203)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_MoreLoc",="",="",="",="",="-0.0263",="(0.0196)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM2nd_MoreLoc",="",="",="",="",="-0.0938",="(0.1897)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM2nd_MoreLoc",="",="",="",="",="0.0435",="(0.1308)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="more_loc_rules_bi",="",="",="",="",="0.0365**",="(0.0141)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_MoreTrad",="",="",="",="",="",="",="-0.0387",="(0.0236)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM2nd_MoreTrad",="",="",="",="",="",="",="0.1836*",="(0.0794)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM2nd_MoreTrad",="",="",="",="",="",="",="0.2261***",="(0.0530)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="more_trad_rules_bi",="",="",="",="",="",="",="0.0446",="(0.0306)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="(1)",="",="",="",="",="",="",="",="",="0.0459",="(0.0297)",="0.0333",="(0.0482)",="0.0204+",="(0.0109)",="-0.0059",="(0.0793)",="0.0534*",="(0.0263)",="-0.0667",="(0.1651)",="0.0251+",="(0.0143)",="0.1700*",="(0.0764)"
="N",="1179",="",="1220",="",="1146",="",="1194",="",="1179",="",="1179",="",="1220",="",="1220",="",="1146",="",="1146",="",="1194",="",="1194",=""
="R-sq",="0.758",="",="0.763",="",="0.758",="",="0.765",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Standard errors in parentheses"
="+ p<.1, * p<.05, ** p<.01, *** p<.001"
