="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",="",="(7)",="",="(8)",="",="(9)",="",="(10)",="",="(11)",="",="(12)",=""
="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",=""
="T",="0.0037",="(0.0031)",="0.0071",="(.)",="0.0087",="(0.0091)",="0.0043",="(0.0075)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM1st",="0.0284",="(0.0190)",="0.0083",="(0.0204)",="0.0274",="(0.0235)",="0.0292",="(0.0209)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Loc",="-0.0092",="(0.0183)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM1st_Loc",="0.0006",="(0.0494)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM1st_Loc",="-0.0114",="(0.0480)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAMBelow1st",="-0.0304+",="(0.0162)",="-0.0556***",="(0.0140)",="-0.0451*",="(0.0187)",="-0.0544***",="(0.0158)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="loc_rules_bi",="0.0023",="(0.0199)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="const_term",="0.4447**",="(0.1418)",="0.4796***",="(0.1138)",="0.4688***",="(0.1271)",="0.4661***",="(0.1217)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="DataTI3",="-0.1007",="(0.1162)",="-0.1450",="(0.0928)",="-0.1425",="(0.1065)",="-0.1369",="(0.1001)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="SumPre5_50k",="0.0004",="(0.0005)",="0.0005",="(0.0004)",="0.0005",="(0.0004)",="0.0006+",="(0.0003)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="SPI3mean2013_07_2014_06",="-0.0621*",="(0.0273)",="-0.0548*",="(0.0273)",="-0.0465",="(0.0329)",="-0.0500",="(0.0310)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Var_low",="-0.0208",="(0.0263)",="-0.0284",="(0.0260)",="-0.0271",="(0.0252)",="-0.0245",="(0.0235)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="age",="0.0001",="(0.0005)",="0.0003",="(0.0005)",="0.0000",="(0.0005)",="0.0003",="(0.0005)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="gender",="0.0038",="(0.0081)",="0.0048",="(0.0072)",="0.0101",="(0.0076)",="0.0066",="(0.0065)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="employed_q3",="-0.0001",="(0.0137)",="0.0007",="(0.0152)",="-0.0010",="(0.0134)",="-0.0014",="(0.0158)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="formal_education_q5",="-0.0307**",="(0.0100)",="-0.0297***",="(0.0088)",="-0.0299***",="(0.0074)",="-0.0284***",="(0.0072)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="pastoral_q6",="0.0533**",="(0.0179)",="0.0440*",="(0.0182)",="0.0583***",="(0.0157)",="0.0509**",="(0.0174)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="low_ses_q15",="0.0294+",="(0.0154)",="0.0196",="(0.0169)",="0.0430**",="(0.0157)",="0.0396*",="(0.0161)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="included_q11",="-0.0141+",="(0.0073)",="-0.0071",="(0.0055)",="0.0022",="(0.0101)",="-0.0070",="(0.0066)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="attacked_1yr",="0.0462*",="(0.0193)",="0.0407*",="(0.0158)",="0.0408**",="(0.0153)",="0.0433**",="(0.0153)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="eth_match",="0.0266**",="(0.0097)",="0.0327***",="(0.0097)",="0.0192",="(0.0140)",="0.0278*",="(0.0111)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="gender_match",="0.0172*",="(0.0070)",="0.0246***",="(0.0062)",="0.0208***",="(0.0062)",="0.0237***",="(0.0066)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Trad",="",="",="-0.0248",="(0.0202)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM1st_Trad",="",="",="0.0333",="(0.0452)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM1st_Trad",="",="",="0.0777+",="(0.0429)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="trad_rules_bi",="",="",="0.0271",="(0.0174)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_MoreLoc",="",="",="",="",="-0.0310*",="(0.0143)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM1st_MoreLoc",="",="",="",="",="-0.0196",="(0.0428)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM1st_MoreLoc",="",="",="",="",="0.0484",="(0.0481)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="more_loc_rules_bi",="",="",="",="",="0.0349",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_MoreTrad",="",="",="",="",="",="",="-0.0423",="(0.0273)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM1st_MoreTrad",="",="",="",="",="",="",="0.0428",="(0.0397)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM1st_MoreTrad",="",="",="",="",="",="",="0.0939",="(0.0620)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="more_trad_rules_bi",="",="",="",="",="",="",="0.0282",="(0.0272)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="(1)",="",="",="",="",="",="",="",="",="0.0321+",="(0.0195)",="0.0235",="(0.0269)",="0.0153",="(0.0202)",="0.0239",="(0.0249)",="0.0361*",="(0.0183)",="-0.0145",="(0.0292)",="0.0335*",="(0.0167)",="0.0341",="(0.0217)"
="N",="1179",="",="1220",="",="1146",="",="1194",="",="1179",="",="1179",="",="1220",="",="1220",="",="1146",="",="1146",="",="1194",="",="1194",=""
="R-sq",="0.770",="",="0.774",="",="0.772",="",="0.776",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Standard errors in parentheses"
="+ p<.1, * p<.05, ** p<.01, *** p<.001"
