="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",="",="(7)",="",="(8)",="",="(9)",="",="(10)",="",="(11)",="",="(12)",=""
="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",=""
="T",="-0.8558",="(0.9139)",="-1.0763",="(0.8853)",="0.0912",="(0.4476)",="-0.5796",="(0.6972)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt",="1.0678",="(1.3036)",="1.4441",="(1.6672)",="0.1858",="(0.8680)",="1.0669",="(1.3495)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Loc",="1.5210",="(1.0989)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt_Loc",="-1.0640",="(1.1974)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt_Loc",="0.2892",="(1.0617)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt",="-2.5817",="(1.5804)",="-2.2902",="(1.6222)",="-1.9194+",="(1.1480)",="-2.4670+",="(1.4738)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="loc_rules_bi",="-1.0616",="(0.7658)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="const_term",="9.3069**",="(3.0876)",="9.7188**",="(3.2040)",="8.4194***",="(2.4465)",="9.3366**",="(3.1532)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Trad",="",="",="2.4983+",="(1.3724)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt_Trad",="",="",="-2.2984",="(2.3522)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt_Trad",="",="",="0.4343",="(1.8382)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="trad_rules_bi",="",="",="-3.1109",="(1.9361)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_MoreLoc",="",="",="",="",="-2.0040",="(2.3051)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt_MoreLoc",="",="",="",="",="2.5932",="(2.4318)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt_MoreLoc",="",="",="",="",="-3.0138",="(2.6743)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="more_loc_rules_bi",="",="",="",="",="2.0935",="(2.2449)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_MoreTrad",="",="",="",="",="",="",="0.1051",="(1.7113)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt_MoreTrad",="",="",="",="",="",="",="-0.0390",="(1.5238)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt_MoreTrad",="",="",="",="",="",="",="-1.7520",="(1.3918)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="more_trad_rules_bi",="",="",="",="",="",="",="-0.8033",="(1.0568)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="(1)",="",="",="",="",="",="",="",="",="0.2120",="(0.5598)",="0.6690",="(0.9761)",="0.3678",="(0.9151)",="0.5677",="(0.7444)",="0.4873",="(0.7384)",="0.8662",="(1.0946)",="0.4873",="(0.7384)",="0.5534",="(0.8761)"
="N",="1179",="",="1220",="",="1146",="",="1194",="",="1179",="",="1179",="",="1220",="",="1220",="",="1194",="",="1146",="",="1194",="",="1194",=""
="R-sq",="0.475",="",="0.484",="",="0.474",="",="0.473",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Standard errors in parentheses"
="+ p<.1, * p<.05, ** p<.01, *** p<.001"
