="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",="",="(7)",="",="(8)",="",="(9)",="",="(10)",="",="(11)",="",="(12)",=""
="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",=""
="T",="0.0596",="(0.3259)",="0.2266",="(0.2937)",="0.2842",="(0.3639)",="0.2489",="(0.2630)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM2nd",="-0.1150",="(0.6847)",="-0.6838",="(0.7321)",="-0.6722",="(0.7285)",="-1.4611",="(0.8952)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Loc",="0.3088",="(0.3998)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM2nd_Loc",="-4.2957***",="(1.1596)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM2nd_Loc",="1.8188+",="(1.0461)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAMBelow2nd",="-4.5444**",="(1.7403)",="-4.4090*",="(1.7741)",="-4.1156*",="(1.6748)",="-4.3653*",="(1.7171)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="loc_rules_bi",="0.0201",="(0.1487)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="const_term",="9.9905**",="(3.5082)",="9.2065**",="(3.2932)",="9.6849**",="(3.4725)",="9.4527**",="(3.4139)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="DataTI3",="-8.3336**",="(2.9211)",="-7.8206**",="(2.7887)",="-8.2371**",="(2.9623)",="-8.0140**",="(2.9428)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="SumPre5_50k",="0.2015***",="(0.0258)",="0.2024***",="(0.0264)",="0.1984***",="(0.0271)",="0.2059***",="(0.0259)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="SPI3mean2013_07_2014_06",="0.1102",="(1.8554)",="0.0846",="(1.7932)",="-0.0286",="(1.8738)",="-0.0213",="(1.8978)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Var_low",="-1.9275*",="(0.9655)",="-1.7586+",="(0.9608)",="-1.8738*",="(0.9465)",="-1.7122+",="(0.9430)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="age",="-0.0183*",="(0.0088)",="-0.0175*",="(0.0081)",="-0.0182*",="(0.0091)",="-0.0163+",="(0.0086)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="gender",="0.1065",="(0.0922)",="0.0278",="(0.0690)",="0.0467",="(0.0878)",="-0.0002",="(0.0727)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="employed_q3",="0.0672",="(0.2460)",="0.0563",="(0.2267)",="-0.0131",="(0.1640)",="0.0404",="(0.1989)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="formal_education_q5",="0.3553***",="(0.0721)",="0.4545***",="(0.1001)",="0.4925***",="(0.0560)",="0.4288***",="(0.1127)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="pastoral_q6",="-0.7761",="(0.5357)",="-0.7579",="(0.5203)",="-0.6322",="(0.5308)",="-0.6986",="(0.5530)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="low_ses_q15",="0.1301",="(0.2442)",="0.0278",="(0.2221)",="0.0903",="(0.2421)",="0.0435",="(0.2330)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="included_q11",="0.6454",="(1.1039)",="0.5662",="(1.0803)",="0.6993",="(1.1052)",="0.5625",="(1.0800)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="attacked_1yr",="0.2411",="(0.2591)",="0.2809",="(0.2238)",="0.1852",="(0.3076)",="0.2182",="(0.2567)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="eth_match",="-1.3866",="(1.1487)",="-1.3639",="(1.1045)",="-1.3267",="(1.1278)",="-1.3831",="(1.1260)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="gender_match",="0.0550***",="(0.0130)",="0.0075",="(0.0398)",="0.0261",="(0.0336)",="-0.0377",="(0.0409)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Trad",="",="",="-0.1892",="(0.3142)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM2nd_Trad",="",="",="-2.6636+",="(1.4095)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM2nd_Trad",="",="",="2.4400",="(1.6921)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
