="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",="",="(7)",="",="(8)",="",="(9)",="",="(10)",="",="(11)",="",="(12)",=""
="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",=""
="T",="-0.1450",="(.)",="-0.0242",="(0.0907)",="0.0788*",="(0.0329)",="0.1281*",="(0.0511)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM2nd",="-0.1876",="(0.4174)",="-0.4241",="(0.4957)",="-0.5003",="(0.3782)",="-0.9863+",="(0.5931)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Loc",="0.7058+",="(0.4189)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM2nd_Loc",="-2.4098*",="(1.1835)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM2nd_Loc",="1.0192",="(0.9364)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAMBelow2nd",="-4.0229**",="(1.3899)",="-4.3809**",="(1.4367)",="-3.7906**",="(1.4339)",="-4.1081**",="(1.4354)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="loc_rules_bi",="-0.0612",="(0.2707)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="const_term",="-0.6720",="(3.8320)",="-1.0582",="(3.5686)",="-1.2689",="(3.9085)",="-1.6616",="(3.6912)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="DataTI3",="2.1621",="(3.1411)",="2.3649",="(3.0222)",="2.3157",="(3.2844)",="2.5879",="(3.1204)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="SumPre5_50k",="0.2744***",="(0.0242)",="0.2753***",="(0.0239)",="0.2734***",="(0.0253)",="0.2783***",="(0.0235)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="SPI3mean2013_07_2014_06",="-2.1357",="(1.5002)",="-2.2090",="(1.5127)",="-2.3007",="(1.5188)",="-2.2735",="(1.5088)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Var_low",="-1.8660*",="(0.8492)",="-1.8541*",="(0.8302)",="-1.7894*",="(0.8431)",="-1.6663*",="(0.8174)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
