="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",="",="(7)",="",="(8)",="",="(9)",="",="(10)",="",="(11)",="",="(12)",=""
="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",=""
="T",="-0.1975",="(0.1581)",="-0.0888",="(0.1743)",="0.0391",="(0.1340)",="0.0345",="(0.1435)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM2nd",="-0.3533",="(0.5537)",="-0.5681",="(0.5510)",="-0.7077",="(0.4908)",="-1.1812+",="(0.7123)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Loc",="0.5926",="(0.3643)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM2nd_Loc",="-2.4418",="(1.5375)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM2nd_Loc",="1.0873",="(1.1847)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAMBelow2nd",="-5.9990**",="(1.8983)",="-6.3656**",="(1.9475)",="-5.6890**",="(1.8394)",="-6.0058**",="(1.9090)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="loc_rules_bi",="-0.1606",="(0.2856)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="const_term",="0.9302",="(0.9489)",="0.9242",="(0.9429)",="0.7519",="(0.8608)",="0.6643",="(0.8707)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="SumPre5_50k",="0.2776***",="(0.0236)",="0.2776***",="(0.0238)",="0.2752***",="(0.0249)",="0.2801***",="(0.0230)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Trad",="",="",="0.3051",="(0.3092)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM2nd_Trad",="",="",="-3.1302*",="(1.2523)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM2nd_Trad",="",="",="4.2168*",="(1.6662)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="trad_rules_bi",="",="",="-0.2234",="(0.4049)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_MoreLoc",="",="",="",="",="-0.1128",="(0.3552)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM2nd_MoreLoc",="",="",="",="",="-1.6480",="(3.1759)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM2nd_MoreLoc",="",="",="",="",="0.6976",="(2.7050)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="more_loc_rules_bi",="",="",="",="",="0.3699**",="(0.1348)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_MoreTrad",="",="",="",="",="",="",="-0.0408",="(0.3170)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM2nd_MoreTrad",="",="",="",="",="",="",="1.1087+",="(0.6068)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM2nd_MoreTrad",="",="",="",="",="",="",="3.3306*",="(1.6268)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="more_trad_rules_bi",="",="",="",="",="",="",="0.2005",="(0.3852)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="(1)",="",="",="",="",="",="",="",="",="-0.5508",="(0.5093)",="-2.4000+",="(1.3431)",="-0.6569",="(0.4595)",="-3.4820**",="(1.1812)",="-0.6686",="(0.4468)",="-2.4294",="(3.0095)",="-1.1467+",="(0.6853)",="-0.0788",="(0.2929)"
="N",="1179",="",="1220",="",="1146",="",="1194",="",="1179",="",="1179",="",="1220",="",="1220",="",="1146",="",="1146",="",="1194",="",="1194",=""
="R-sq",="0.941",="",="0.941",="",="0.938",="",="0.943",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Standard errors in parentheses"
="+ p<.1, * p<.05, ** p<.01, *** p<.001"
