="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",="",="(7)",="",="(8)",="",="(9)",="",="(10)",="",="(11)",="",="(12)",=""
="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",=""
="T",="-0.1127",="(0.1233)",="-0.0027",="(0.1945)",="0.1104",="(0.1680)",="0.1353",="(0.1486)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM1st",="-0.2156",="(0.3593)",="-0.1063",="(0.3267)",="-0.2129",="(0.3049)",="-0.3806",="(0.2616)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Loc",="0.7374+",="(0.4323)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM1st_Loc",="-0.4078",="(0.6146)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM1st_Loc",="0.5432+",="(0.3163)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAMBelow1st",="-0.4532",="(0.6540)",="-0.8220",="(0.8111)",="-0.4957",="(0.7235)",="-0.4499",="(0.7386)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="loc_rules_bi",="0.0840",="(0.1956)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="const_term",="-5.2991",="(3.8230)",="-5.2768",="(3.9069)",="-5.4696",="(4.1430)",="-6.2314",="(3.9118)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="DataTI3",="5.8909+",="(3.1473)",="5.7130+",="(3.2708)",="5.7064",="(3.4821)",="6.2189+",="(3.2730)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="SumPre5_50k",="0.2677***",="(0.0309)",="0.2690***",="(0.0304)",="0.2660***",="(0.0318)",="0.2716***",="(0.0304)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="SPI3mean2013_07_2014_06",="-1.8513",="(1.7582)",="-1.8819",="(1.8139)",="-2.0000",="(1.8061)",="-1.9456",="(1.8263)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Var_low",="-2.3911*",="(1.0906)",="-2.3469*",="(1.0879)",="-2.3533*",="(1.0231)",="-2.1999*",="(1.0463)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="age",="-0.0009",="(0.0051)",="-0.0009",="(0.0047)",="0.0032",="(0.0043)",="0.0052",="(0.0046)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="gender",="-0.0176",="(0.0790)",="-0.0675",="(0.0719)",="-0.0806",="(0.0705)",="-0.1340+",="(0.0789)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="employed_q3",="0.2815**",="(0.0974)",="0.3329*",="(0.1606)",="0.2919*",="(0.1204)",="0.3439**",="(0.1077)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="formal_education_q5",="0.1729",="(0.1373)",="0.3433*",="(0.1341)",="0.3218*",="(0.1538)",="0.3091*",="(0.1338)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="pastoral_q6",="-0.3895+",="(0.2124)",="-0.3537",="(0.2301)",="-0.1839",="(0.2111)",="-0.2195",="(0.2045)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="low_ses_q15",="-0.0448",="(0.2075)",="-0.0877",="(0.2008)",="-0.0375",="(0.2234)",="-0.0322",="(0.2209)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="included_q11",="-0.9203*",="(0.4611)",="-0.7866+",="(0.4120)",="-0.8749*",="(0.4305)",="-0.9564*",="(0.4425)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="attacked_1yr",="0.2714",="(0.2313)",="0.2837",="(0.2138)",="0.2754",="(0.2562)",="0.3291",="(0.2682)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="eth_match",="0.5430",="(0.3475)",="0.5368+",="(0.3190)",="0.4428",="(0.3271)",="0.4060",="(0.3402)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="gender_match",="-0.0233",="(0.0605)",="-0.0344",="(0.0354)",="0.0267",="(0.0569)",="-0.0083",="(0.0253)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Trad",="",="",="0.1090",="(0.3084)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM1st_Trad",="",="",="-0.3404",="(0.4940)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM1st_Trad",="",="",="1.2687",="(1.0223)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="trad_rules_bi",="",="",="0.2009",="(0.4364)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_MoreLoc",="",="",="",="",="-0.0145",="(0.4153)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM1st_MoreLoc",="",="",="",="",="-0.6754",="(0.8734)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM1st_MoreLoc",="",="",="",="",="0.8999",="(0.8850)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="more_loc_rules_bi",="",="",="",="",="0.4983*",="(0.2178)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_MoreTrad",="",="",="",="",="",="",="-0.1997",="(0.3081)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM1st_MoreTrad",="",="",="",="",="",="",="0.6971",="(0.4883)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM1st_MoreTrad",="",="",="",="",="",="",="0.6493",="(0.9561)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="more_trad_rules_bi",="",="",="",="",="",="",="0.6012+",="(0.3080)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="(1)",="",="",="",="",="",="",="",="",="-0.3283",="(0.2875)",="0.0013",="(0.2184)",="-0.1090",="(0.2267)",="-0.3405",="(0.4189)",="-0.1025",="(0.2157)",="-0.7925",="(0.6084)",="-0.2452",="(0.1953)",="0.2521",="(0.3541)"
="N",="1179",="",="1220",="",="1146",="",="1194",="",="1179",="",="1179",="",="1220",="",="1220",="",="1146",="",="1146",="",="1194",="",="1194",=""
="R-sq",="0.942",="",="0.943",="",="0.939",="",="0.943",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Standard errors in parentheses"
="+ p<.1, * p<.05, ** p<.01, *** p<.001"
