="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",="",="(7)",="",="(8)",="",="(9)",="",="(10)",="",="(11)",="",="(12)",=""
="Var_low",="-2.6266+",="(1.3500)",="-2.5262+",="(1.2915)",="-2.5580+",="(1.3138)",="-2.4959+",="(1.3022)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="age",="-0.0011",="(0.0055)",="-0.0016",="(0.0056)",="0.0031",="(0.0051)",="0.0039",="(0.0046)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="gender",="-0.0337",="(0.0734)",="-0.0627",="(0.0810)",="-0.0966",="(0.0888)",="-0.1353",="(0.0898)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="employed_q3",="0.2631*",="(0.1324)",="0.3132+",="(0.1602)",="0.2462",="(0.1622)",="0.3499*",="(0.1571)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="formal_education_q5",="0.2034",="(0.1590)",="0.3735+",="(0.1909)",="0.3441+",="(0.1891)",="0.3242+",="(0.1716)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="pastoral_q6",="-0.4209+",="(0.2205)",="-0.3782",="(0.2314)",="-0.2107",="(0.2647)",="-0.2361",="(0.2451)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="low_ses_q15",="-0.0847",="(0.2111)",="-0.0738",="(0.1875)",="-0.0598",="(0.2064)",="-0.0079",="(0.1881)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="included_q11",="-0.9841",="(0.6794)",="-0.8500",="(0.6120)",="-0.9703",="(0.6605)",="-1.0505",="(0.6417)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="attacked_1yr",="0.2440",="(0.2203)",="0.2793",="(0.1732)",="0.2299",="(0.1873)",="0.3212",="(0.2022)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="eth_match",="0.5341",="(0.4147)",="0.5038",="(0.4017)",="0.4099",="(0.4225)",="0.4062",="(0.4207)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="gender_match",="-0.0082",="(0.0506)",="-0.0034",="(0.0725)",="0.0619",="(0.0743)",="0.0386",="(0.0678)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="weather_lied",="-0.5605",="(0.6608)",="-0.5680",="(0.7594)",="-0.2919",="(0.7106)",="-0.4918",="(0.7726)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Trad",="",="",="-0.2949",="(0.3405)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt_Trad",="",="",="0.4826",="(0.4159)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt_Trad",="",="",="-0.3182",="(0.4254)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="trad_rules_bi",="",="",="0.7120*",="(0.3222)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_MoreLoc",="",="",="",="",="-0.6343",="(0.5764)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt_MoreLoc",="",="",="",="",="0.8273+",="(0.4757)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt_MoreLoc",="",="",="",="",="-0.9800+",="(0.5668)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="more_loc_rules_bi",="",="",="",="",="1.2718*",="(0.5596)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_MoreTrad",="",="",="",="",="",="",="0.4798",="(0.6985)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt_MoreTrad",="",="",="",="",="",="",="-0.7412",="(0.7893)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt_MoreTrad",="",="",="",="",="",="",="0.1453",="(0.6370)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="more_trad_rules_bi",="",="",="",="",="",="",="0.6657",="(0.5175)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="(1)",="",="",="",="",="",="",="",="",="-0.0426",="(0.1477)",="0.5602+",="(0.3033)",="0.0601",="(0.2014)",="0.2479",="(0.2447)",="0.3112+",="(0.1650)",="0.3456",="(0.3328)",="0.3112+",="(0.1650)",="0.0498",="(0.2381)"
="N",="1179",="",="1220",="",="1146",="",="1194",="",="1179",="",="1179",="",="1220",="",="1220",="",="1194",="",="1146",="",="1194",="",="1194",=""
="R-sq",="0.943",="",="0.943",="",="0.940",="",="0.944",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Standard errors in parentheses"
="+ p<.1, * p<.05, ** p<.01, *** p<.001"
