="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",="",="(7)",="",="(8)",="",="(9)",="",="(10)",="",="(11)",="",="(12)",=""
="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",="",="SumPost1_50k",=""
="T",="-0.3756",="(.)",="-0.1738*",="(0.0866)",="-0.1430",="(.)",="-0.3767*",="(0.1467)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt",="0.3330+",="(0.1776)",="0.2339",="(0.2608)",="0.2956",="(0.2065)",="0.6879*",="(0.2894)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Loc",="0.6986",="(0.6249)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt_Loc",="-0.0958",="(0.4590)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt_Loc",="-0.2879",="(0.6229)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt",="0.3479",="(0.2919)",="0.2899",="(0.2500)",="0.4030",="(0.2658)",="0.0496",="(0.2445)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="loc_rules_bi",="0.3781",="(0.5287)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="const_term",="-6.4878*",="(3.2787)",="-6.8009*",="(3.1687)",="-6.9041*",="(3.2952)",="-7.3929*",="(3.2966)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="DataVCI",="-0.3196",="(1.5042)",="-0.1186",="(1.4980)",="-0.2556",="(1.5448)",="-0.5200",="(1.5099)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="DataTI3",="6.8600**",="(2.5104)",="6.8413**",="(2.4697)",="6.8324**",="(2.5668)",="7.3840**",="(2.5866)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="SumPre5_50k",="0.2666***",="(0.0269)",="0.2682***",="(0.0268)",="0.2652***",="(0.0275)",="0.2688***",="(0.0268)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="SPI3mean2013_07_2014_06",="-1.7723",="(1.4490)",="-1.6791",="(1.4223)",="-1.9254",="(1.4444)",="-1.8775",="(1.4681)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
