="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",="",="(7)",="",="(8)",="",="(9)",="",="(10)",="",="(11)",="",="(12)",=""
="DataTI3",="-1.1672",="(3.6891)",="-1.0193",="(3.7345)",="-1.5376",="(3.5329)",="-0.7176",="(3.8085)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="SumPre5_50k",="0.1767***",="(0.0254)",="0.1787***",="(0.0255)",="0.1747***",="(0.0258)",="0.1804***",="(0.0251)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="SPI3mean2013_07_2014_06",="0.3623",="(1.7982)",="0.4411",="(1.7707)",="0.2742",="(1.7794)",="0.2713",="(1.8447)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Var_low",="-3.6011+",="(1.8979)",="-3.3792+",="(1.8288)",="-3.5662+",="(1.8944)",="-3.4653+",="(1.8684)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="age",="-0.0169*",="(0.0075)",="-0.0152*",="(0.0069)",="-0.0165*",="(0.0083)",="-0.0139*",="(0.0069)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="gender",="0.0995",="(0.0913)",="-0.0008",="(0.0712)",="0.0380",="(0.0995)",="-0.0487",="(0.0805)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="employed_q3",="0.0421",="(0.1951)",="0.0385",="(0.1975)",="-0.0718",="(0.1142)",="0.0556",="(0.1820)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="formal_education_q5",="0.5234***",="(0.1402)",="0.6876***",="(0.1845)",="0.6537***",="(0.1474)",="0.6515***",="(0.1576)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="pastoral_q6",="-0.5373",="(0.4073)",="-0.5558",="(0.4085)",="-0.3954",="(0.3816)",="-0.4551",="(0.3972)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="low_ses_q15",="0.0491",="(0.2520)",="0.0263",="(0.2285)",="0.0266",="(0.2601)",="0.0496",="(0.2463)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="included_q11",="0.2307",="(0.8877)",="0.1667",="(0.8680)",="0.3237",="(0.8756)",="0.1262",="(0.8693)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="attacked_1yr",="0.0827",="(0.2786)",="0.1626",="(0.2337)",="0.0309",="(0.3140)",="0.1353",="(0.2636)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="eth_match",="-1.2350",="(1.0254)",="-1.2372",="(0.9847)",="-1.2244",="(1.0068)",="-1.2782",="(1.0051)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="gender_match",="0.1182+",="(0.0704)",="0.0756",="(0.0776)",="0.1090",="(0.0691)",="0.0381",="(0.0725)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="weather_lied",="-0.1602",="(0.5702)",="-0.2591",="(0.6666)",="0.0457",="(0.5276)",="-0.2994",="(0.6405)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Trad",="",="",="0.3077",="(0.3289)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt_Trad",="",="",="-1.0471+",="(0.5533)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt_Trad",="",="",="0.4095",="(0.5219)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="trad_rules_bi",="",="",="0.5250*",="(0.2064)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_MoreLoc",="",="",="",="",="-1.0780",="(0.9754)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt_MoreLoc",="",="",="",="",="1.0441",="(1.1250)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt_MoreLoc",="",="",="",="",="-0.4200",="(0.6031)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="more_loc_rules_bi",="",="",="",="",="1.0421*",="(0.5061)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_MoreTrad",="",="",="",="",="",="",="0.5252*",="(0.2606)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt_MoreTrad",="",="",="",="",="",="",="-0.8785",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt_MoreTrad",="",="",="",="",="",="",="0.3793",="(0.5485)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="more_trad_rules_bi",="",="",="",="",="",="",="0.4227",="(0.3478)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="(1)",="",="",="",="",="",="",="",="",="0.3230",="(0.2164)",="0.2464",="(0.3545)",="0.5636*",="(0.2567)",="-0.1757",="(0.2417)",="0.3925",="(0.2431)",="0.2906",="(0.3920)",="0.3925",="(0.2431)",="0.0392",="(0.2110)"
="N",="1179",="",="1220",="",="1146",="",="1194",="",="1179",="",="1179",="",="1220",="",="1220",="",="1194",="",="1146",="",="1194",="",="1194",=""
="R-sq",="0.831",="",="0.832",="",="0.822",="",="0.836",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Standard errors in parentheses"
="+ p<.1, * p<.05, ** p<.01, *** p<.001"
