="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",="",="(7)",="",="(8)",="",="(9)",="",="(10)",="",="(11)",="",="(12)",=""
="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",=""
="T",="-0.4025",="(0.3159)",="-0.3400",="(0.2724)",="-0.0433",="(0.4350)",="-0.3769",="(0.2660)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt",="0.7255*",="(0.3411)",="0.9037**",="(0.3478)",="0.3678",="(0.4680)",="0.7694**",="(0.2815)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Loc",="0.4005",="(0.4143)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt_Loc",="-0.4771",="(0.4980)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt_Loc",="0.0565",="(0.3241)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt",="0.5216*",="(0.2372)",="0.4619*",="(0.2255)",="0.6924+",="(0.3802)",="0.4932*",="(0.2283)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="loc_rules_bi",="0.3273***",="(0.0892)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="const_term",="2.5104",="(4.4661)",="2.0619",="(4.4692)",="2.6105",="(4.2448)",="1.8785",="(4.4715)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="DataVCI",="-3.4436",="(2.5066)",="-3.2433",="(2.4471)",="-3.1897",="(2.4733)",="-3.5558",="(2.5262)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
