="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",="",="(7)",="",="(8)",="",="(9)",="",="(10)",="",="(11)",="",="(12)",=""
="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",=""
="T",="0.0596",="(0.2904)",="0.2266",="(0.2605)",="0.2842",="(0.3587)",="0.2489",="(0.2539)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM2nd",="-0.1150",="(0.6269)",="-0.6838",="(0.7180)",="-0.6722",="(0.6628)",="-1.4611+",="(0.8397)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Loc",="0.3088",="(0.3353)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM2nd_Loc",="-4.2957***",="(0.6296)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM2nd_Loc",="1.8188*",="(0.8250)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAMBelow2nd",="-4.5444*",="(1.9684)",="-4.4090*",="(2.0251)",="-4.1156*",="(1.9180)",="-4.3653*",="(1.9267)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="loc_rules_bi",="0.0201",="(0.2654)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="const_term",="9.9905*",="(4.6540)",="9.2065*",="(4.4813)",="9.6849*",="(4.6348)",="9.4527*",="(4.4609)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="DataTI3",="-8.3336*",="(3.6822)",="-7.8206*",="(3.5720)",="-8.2371*",="(3.7416)",="-8.0140*",="(3.5813)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="SumPre5_50k",="0.2015***",="(0.0298)",="0.2024***",="(0.0306)",="0.1984***",="(0.0316)",="0.2059***",="(0.0297)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="SPI3mean2013_07_2014_06",="0.1102",="(1.5254)",="0.0846",="(1.4768)",="-0.0286",="(1.5084)",="-0.0213",="(1.5036)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Var_low",="-1.9275*",="(0.9721)",="-1.7586+",="(0.9529)",="-1.8738+",="(0.9683)",="-1.7122+",="(0.9272)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
