="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",="",="(7)",="",="(8)",="",="(9)",="",="(10)",="",="(11)",="",="(12)",=""
="age",="-0.0183*",="(0.0092)",="-0.0175*",="(0.0084)",="-0.0182+",="(0.0095)",="-0.0163+",="(0.0086)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="gender",="0.1065",="(0.1001)",="0.0278",="(0.0816)",="0.0467",="(0.0847)",="-0.0002",="(0.0833)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="employed_q3",="0.0672",="(0.2410)",="0.0563",="(0.2196)",="-0.0131",="(0.1944)",="0.0404",="(0.2019)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="formal_education_q5",="0.3553*",="(0.1694)",="0.4545**",="(0.1748)",="0.4925**",="(0.1876)",="0.4288*",="(0.1951)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="pastoral_q6",="-0.7761",="(0.5214)",="-0.7579",="(0.5037)",="-0.6322",="(0.5155)",="-0.6986",="(0.5290)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="low_ses_q15",="0.1301",="(0.2364)",="0.0278",="(0.2091)",="0.0903",="(0.2371)",="0.0435",="(0.2241)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="included_q11",="0.6454",="(1.0998)",="0.5662",="(1.0800)",="0.6993",="(1.0891)",="0.5625",="(1.0856)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="attacked_1yr",="0.2411",="(0.2510)",="0.2809",="(0.2332)",="0.1852",="(0.3022)",="0.2182",="(0.2494)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="eth_match",="-1.3866",="(1.0809)",="-1.3639",="(1.0455)",="-1.3267",="(1.0671)",="-1.3831",="(1.0732)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="gender_match",="0.0550",="(0.0603)",="0.0075",="(0.0414)",="0.0261",="(0.0565)",="-0.0377",="(0.0464)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Trad",="",="",="-0.1892",="(0.2802)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM2nd_Trad",="",="",="-2.6636+",="(1.5732)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM2nd_Trad",="",="",="2.4400",="(1.7101)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="trad_rules_bi",="",="",="0.5187+",="(0.2650)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_MoreLoc",="",="",="",="",="-0.4454",="(0.4979)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM2nd_MoreLoc",="",="",="",="",="-3.1481",="(2.7060)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM2nd_MoreLoc",="",="",="",="",="1.1135",="(2.3448)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="more_loc_rules_bi",="",="",="",="",="0.6002",="(0.3830)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_MoreTrad",="",="",="",="",="",="",="-0.3683**",="(0.1128)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_TAM2nd_MoreTrad",="",="",="",="",="",="",="1.8454+",="(0.9504)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="TAM2nd_MoreTrad",="",="",="",="",="",="",="1.7270",="(1.9968)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="more_trad_rules_bi",="",="",="",="",="",="",="0.4249*",="(0.2072)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="(1)",="",="",="",="",="",="",="",="",="-0.0553",="(0.4992)",="-4.0422***",="(0.6859)",="-0.4572",="(0.6181)",="-3.3100*",="(1.3091)",="-0.3880",="(0.4689)",="-3.9814",="(2.6201)",="-1.2121",="(0.7391)",="0.2650",="(0.5306)"
="N",="1179",="",="1220",="",="1146",="",="1194",="",="1179",="",="1179",="",="1220",="",="1220",="",="1146",="",="1146",="",="1194",="",="1194",=""
="R-sq",="0.842",="",="0.841",="",="0.832",="",="0.846",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Standard errors in parentheses"
="+ p<.1, * p<.05, ** p<.01, *** p<.001"
