="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",=""
="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",=""
="T",="0.0098",="(0.0120)",="0.0095",="(0.0122)",="0.0091",="(0.0108)",="",="",="",="",="",=""
="T_TAM2nd",="0.0248",="(0.0166)",="0.0291",="(0.0181)",="0.0261+",="(0.0138)",="",="",="",="",="",=""
="TAMBelow2nd",="-0.0381",="(0.0281)",="-0.0806+",="(0.0414)",="-0.0662+",="(0.0391)",="",="",="",="",="",=""
="const_term",="0.3654***",="(0.0137)",="0.6655***",="(0.1600)",="0.4854***",="(0.1418)",="",="",="",="",="",=""
="DataVCI",="",="",="-0.0103",="(0.0528)",="-0.0229",="(0.0449)",="",="",="",="",="",=""
="DataTI3",="",="",="-0.2333+",="(0.1330)",="-0.1273",="(0.1187)",="",="",="",="",="",=""
="SumPre5_50k",="",="",="-0.0001",="(0.0005)",="0.0002",="(0.0004)",="",="",="",="",="",=""
="SPI3mean2013_07_2014_06",="",="",="-0.0338",="(0.0255)",="-0.0458+",="(0.0261)",="",="",="",="",="",=""
="Var_low",="",="",="-0.0508+",="(0.0272)",="-0.0270",="(0.0247)",="",="",="",="",="",=""
="age",="",="",="",="",="-0.0001",="(0.0005)",="",="",="",="",="",=""
="gender",="",="",="",="",="0.0074",="(0.0073)",="",="",="",="",="",=""
="employed_q3",="",="",="",="",="0.0039",="(0.0176)",="",="",="",="",="",=""
="formal_education_q5",="",="",="",="",="-0.0368***",="(0.0109)",="",="",="",="",="",=""
="pastoral_q6",="",="",="",="",="0.0515***",="(0.0141)",="",="",="",="",="",=""
="low_ses_q15",="",="",="",="",="0.0342*",="(0.0152)",="",="",="",="",="",=""
="included_q11",="",="",="",="",="-0.0066",="(0.0190)",="",="",="",="",="",=""
="attacked_1yr",="",="",="",="",="0.0535***",="(0.0148)",="",="",="",="",="",=""
="eth_match",="",="",="",="",="0.0335**",="(0.0105)",="",="",="",="",="",=""
="gender_match",="",="",="",="",="0.0181*",="(0.0087)",="",="",="",="",="",=""
="weather_lied",="",="",="",="",="-0.0393",="(0.0283)",="",="",="",="",="",=""
="(1)",="",="",="",="",="",="",="0.0346**",="(0.0111)",="0.0386**",="(0.0125)",="0.0352***",="(0.0094)"
="N",="1346",="",="1346",="",="1346",="",="1346",="",="1346",="",="1346",=""
="R-sq",="0.758",="",="0.761",="",="0.772",="",="",="",="",="",="",=""
="Standard errors in parentheses"
="+ p<.1, * p<.05, ** p<.01, *** p<.001"
